epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8066,6.4364,4.57511,4.46615,0,0,0,0,6.72711,3.94859,4.16437,0.00018,0.00018,0.00018
2,17.5256,6.14283,4.24895,4.33921,0,0,0,0,6.73123,3.96947,4.17649,0.000372476,0.000372476,0.000372476
3,20.5026,5.59765,3.47398,4.04023,0,0,0,0,6.73675,3.99104,4.19736,0.000557032,0.000557032,0.000557032
4,23.863,4.90248,2.83287,3.67414,0,0,0,0,6.74726,4.02617,4.23409,0.000733668,0.000733668,0.000733668
5,29.0595,4.26693,2.46691,3.37453,0,0,0,0,6.76355,4.03036,4.28702,0.000902384,0.000902384,0.000902384
6,32.5446,3.94702,2.18303,3.15118,0,0,0,0,6.77705,4.04461,4.32614,0.00106318,0.00106318,0.00106318
7,35.6712,3.57905,1.99319,2.95808,0,0,0,0,6.77683,4.0268,4.32061,0.00121606,0.00121606,0.00121606
8,39.7139,3.41216,1.8704,2.71474,0,0,0,0,6.7642,3.77139,4.27509,0.00136101,0.00136101,0.00136101
9,43.7025,3.04481,1.73603,2.65474,0,0,0,0,6.78604,3.86886,4.35013,0.00149805,0.00149805,0.00149805
10,47.0942,2.88853,1.58268,2.34017,0.00699,0.14493,0.14205,0.03317,5.57492,3.22419,3.69602,0.00162716,0.00162716,0.00162716
11,50.4237,2.87696,1.59705,2.32075,0.73311,0.23188,0.32621,0.09848,4.00954,2.32179,2.99379,0.001604,0.001604,0.001604
12,54.6526,2.66221,1.48826,2.18047,0.8107,0.42029,0.51289,0.16634,3.24178,1.87442,2.67596,0.0015644,0.0015644,0.0015644
13,58.3897,2.66192,1.50362,2.1394,0.8506,0.50725,0.59889,0.2639,2.84307,1.69763,2.49962,0.0015248,0.0015248,0.0015248
14,61.5566,2.4769,1.3766,1.97253,0.62606,0.56522,0.60919,0.23689,2.44684,1.38632,2.2437,0.0014852,0.0014852,0.0014852
15,64.3516,2.41676,1.34498,1.92262,0.60382,0.55223,0.54849,0.22755,2.22309,1.36868,2.08727,0.0014456,0.0014456,0.0014456
16,67.7922,2.28835,1.36126,1.86233,0.59066,0.62741,0.52145,0.20169,2.1333,1.42819,1.99485,0.001406,0.001406,0.001406
17,72.1274,2.25272,1.31731,1.86843,0.60996,0.69565,0.60477,0.27363,2.07056,1.28495,1.92193,0.0013664,0.0013664,0.0013664
