epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.37437,1.9935,3.34291,1.36723,0.01667,1,0.02939,0.01243,2.0788,3.21437,1.27829,0,0,0
2,5.82554,1.94682,3.47463,1.43235,0.01667,1,0.02979,0.01371,1.98632,3.21736,1.22374,1.9802e-05,1.9802e-05,1.9802e-05
3,8.53633,1.81877,3.32399,1.35264,0.01667,1,0.0314,0.01347,1.92569,3.1837,1.187,3.9208e-05,3.9208e-05,3.9208e-05
4,11.0306,1.89531,3.36838,1.33742,0.01667,1,0.03321,0.01561,1.76479,3.14555,1.13457,5.8218e-05,5.8218e-05,5.8218e-05
5,13.5777,1.55011,3.35482,1.17291,0.01667,1,0.03423,0.01753,1.60517,3.10679,1.10109,7.6832e-05,7.6832e-05,7.6832e-05
6,16.0318,1.56972,3.24053,1.19499,0.01667,1,0.04442,0.0229,1.40981,3.08028,1.04178,9.505e-05,9.505e-05,9.505e-05
7,19.7522,1.52619,2.97052,1.13563,0.01667,1,0.0483,0.02911,1.23707,3.04212,0.99656,0.000112872,0.000112872,0.000112872
8,22.3749,1.20086,2.75821,1.00571,0.01667,1,0.05408,0.03503,1.09628,3.01885,0.96828,0.000130298,0.000130298,0.000130298
9,24.8915,1.30744,2.74755,0.99154,0.01667,1,0.05077,0.03461,1.03528,3.00157,0.9514,0.000147328,0.000147328,0.000147328
10,27.7436,1.2961,2.53933,1.02922,0.01667,1,0.05237,0.03705,1.00789,2.98136,0.92909,0.000163962,0.000163962,0.000163962
11,30.29,1.30013,2.06359,1.09795,0.01667,1,0.05293,0.0375,0.97307,2.94906,0.90681,0.0001802,0.0001802,0.0001802
12,33.0894,1.25342,1.70953,1.01778,0.01667,1,0.05129,0.03497,0.98687,2.89454,0.89756,0.000196042,0.000196042,0.000196042
13,35.5585,1.32563,1.55059,1.04745,0.01667,1,0.42593,0.25855,0.99033,2.81823,0.87134,0.000211488,0.000211488,0.000211488
14,38.2206,1.37468,1.17465,1.00967,0.01667,1,0.42561,0.23819,1.03567,2.70834,0.85353,0.000226538,0.000226538,0.000226538
15,41.0987,1.15276,1.00152,0.9638,0.01667,1,0.80542,0.486,1.02125,2.64083,0.8455,0.000241192,0.000241192,0.000241192
16,43.5757,1.36648,1.30008,1.08134,0.01667,1,0.96167,0.62348,1.00286,2.57404,0.84237,0.00025545,0.00025545,0.00025545
17,46.2599,1.26978,1.19796,1.06349,0.01667,1,0.995,0.65666,1.04354,2.50269,0.85726,0.000269312,0.000269312,0.000269312
18,48.8977,1.17947,1.06894,1.02965,0.01667,1,0.995,0.65666,1.04354,2.50269,0.85726,0.000282778,0.000282778,0.000282778
19,51.3485,1.26209,1.00004,1.01899,0.01667,1,0.995,0.72644,1.02379,2.40994,0.85681,0.000295848,0.000295848,0.000295848
20,53.9315,1.23563,1.16935,1.05742,0.01667,1,0.995,0.72644,1.02379,2.40994,0.85681,0.000308522,0.000308522,0.000308522
21,56.7016,1.30687,1.19747,1.05204,0.01667,1,0.995,0.72147,1.02372,2.37678,0.86279,0.0003208,0.0003208,0.0003208
22,59.1082,1.19178,1.19138,1.09167,0.01667,1,0.995,0.72147,1.02372,2.37678,0.86279,0.000332682,0.000332682,0.000332682
23,61.4984,1.34104,1.1541,1.0921,0.01667,1,0.89786,0.64417,1.07456,2.46798,0.9012,0.000344168,0.000344168,0.000344168
24,63.873,1.35536,0.98177,1.07647,0.01667,1,0.89786,0.64417,1.07456,2.46798,0.9012,0.000355258,0.000355258,0.000355258
25,66.3635,1.21304,1.06649,1.05242,0.01667,1,0.53254,0.38267,1.06537,2.65236,0.92961,0.000365952,0.000365952,0.000365952
26,68.8899,1.43683,1.06154,1.06704,0.01667,1,0.53254,0.38267,1.06537,2.65236,0.92961,0.00037625,0.00037625,0.00037625
27,71.5352,1.19251,0.99153,1.09697,0.01667,1,0.22861,0.17889,1.07987,2.75626,0.94693,0.000386152,0.000386152,0.000386152
28,74.1351,1.26848,1.11124,0.9951,0.01667,1,0.22861,0.17889,1.07987,2.75626,0.94693,0.000395658,0.000395658,0.000395658
29,76.9137,1.30107,1.09353,0.99899,0.01667,1,0.22861,0.19703,1.07913,2.77289,0.94721,0.000404768,0.000404768,0.000404768
30,79.2185,1.14143,0.98763,0.97912,0.01667,1,0.22861,0.19703,1.07913,2.77289,0.94721,0.000413482,0.000413482,0.000413482
31,81.7354,1.20583,1.03538,0.96141,0.01667,1,0.419,0.33184,1.03781,2.64403,0.93345,0.0004218,0.0004218,0.0004218
32,84.224,1.38069,1.11052,1.16141,0.01667,1,0.419,0.33184,1.03781,2.64403,0.93345,0.000429722,0.000429722,0.000429722
33,86.6272,1.28545,1.01725,1.04172,0.01667,1,0.80263,0.62986,1.07933,2.5046,0.93888,0.000437248,0.000437248,0.000437248
34,89.2302,1.14331,0.89765,0.99321,0.01667,1,0.80263,0.62986,1.07933,2.5046,0.93888,0.000444378,0.000444378,0.000444378
35,91.8444,1.16272,0.87565,1.00438,0.01667,1,0.80816,0.61222,1.21272,2.36752,0.95688,0.000451112,0.000451112,0.000451112
36,94.2128,1.18382,0.89662,1.00498,0.01667,1,0.80816,0.61222,1.21272,2.36752,0.95688,0.00045745,0.00045745,0.00045745
37,96.9931,1.17189,0.86892,0.98697,0.01667,1,0.995,0.70649,1.19354,2.18496,0.94382,0.000463392,0.000463392,0.000463392
38,99.6517,1.20751,0.87375,1.03501,0.01667,1,0.995,0.70649,1.19354,2.18496,0.94382,0.000468938,0.000468938,0.000468938
39,102.167,1.20436,0.84818,1.03037,0.97208,1,0.995,0.72815,1.13112,1.97131,0.93053,0.000474088,0.000474088,0.000474088
40,104.83,1.18577,0.80445,0.99046,0.97208,1,0.995,0.72815,1.13112,1.97131,0.93053,0.000478842,0.000478842,0.000478842
41,107.377,1.23683,0.90483,1.07453,1,0.80951,0.995,0.66744,1.2064,1.87221,0.97824,0.0004832,0.0004832,0.0004832
42,110.012,1.22819,0.90566,1.05482,1,0.80951,0.995,0.66744,1.2064,1.87221,0.97824,0.000487162,0.000487162,0.000487162
